台湾频道,#genre#
AXN,http://pili-live-hdl.qhmywl.com/dsdtv/c762110b3eef8bcccce5863643dd66aa.flv
BabyFirst,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
BabyFirst,mitv://198.255.74.87:9906/5dc08f050007314501b79ededa54d554.ts
BabyTV,mitv://198.255.74.87:9906/5dc08f0500080fa601b79f171d990d48.ts
BBC,vjms://23.237.33.155:8500:3502/live/cid=418
BBC,vjms://58.215.133.185:8500:3502/live/cid=418
BBC,mitv://198.255.74.87:9906/5dc08f01000ad05201b7902c343bc007.ts
BBC,vjms://121.14.222.75:8500:3502/live/cid=418
BBC earth,mitv://198.255.74.87:9906/5dc08f01000924dc01b78fbe69aa63f6.ts
BBC Lifestyle,mitv://198.255.74.87:9906/5dc08f010009f63d01b78ff419325ae0.ts
BesTV 4k,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
CatchPlay电影,http://pili-live-hdl.qhmywl.com/dsdtv/65e80e1e0cd763a0302d7aa2a1135b0b.flv
CatchPlay电影,mitv://198.255.74.87:9906/5dc08f0200009eff01b791787b4828f5.ts
CCTV 4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
CHANNEL[V],rtmp://58.200.131.2:1935/livetv/channelv
CHC动作电影,rtmp://58.200.131.2:1935/livetv/chcatv
CHC家庭电影,rtmp://58.200.131.2:1935/livetv/chctv
CHC高清电影HD,rtmp://58.200.131.2:1935/livetv/chchd
CinemaWorld,http://pili-live-hdl.qhmywl.com/dsdtv/357252de83720e30d40c00bfba69c497.flv
CinemaWorld,mitv://198.255.74.87:9906/5dc08f10000960c801b7ca669ad1a62d.ts
CINEMAX,mitv://198.255.74.87:9906/5dc08f0c000d7d5501b7bbd3536df5c6.ts
CINEMAX,P2p://217.182.18.136:9906/5bf18afa00032116a3adf81e40e1198c.ts
CINEMAX,http://pili-live-hdl.qhmywl.com/dsdtv/9bece52b2f72795cc2f588f3d9e4eed3.flv
Ci罪案偵緝 HD,mitv://198.255.74.87:9906/5dc08f050004997001b79e35b0f8145d.ts
CNBC,vjms://23.237.33.155:8500:3502/live/cid=98
CNBC,vjms://58.215.133.185:8500:3502/live/cid=98
CNBC,vjms://121.14.222.75:8500:3502/live/cid=98
CNBC,p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts
CNN,vjms://121.14.222.75:8500:3502/live/cid=428
CNN,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
CNN,vjms://23.237.33.155:8500:3502/live/cid=428
CN卡通,vjms://121.14.222.75:8500:3502/live/cid=422
CN卡通,http://pili-live-hdl.qhmywl.com/dsdtv/c865782e4a131efe17651165835ca37e.flv
CN卡通,p8p://0198.02686.cc:16871/5d1a69b3000e2d1e11bddbfa8c491af8.ts
CN卡通,mitv://198.255.74.87:9906/5dc08f050009aec901b79f82aedce9ba.ts
CN卡通,vjms://23.237.33.155:8500:3502/live/cid=422
E! Entertainment,mitv://198.255.74.87:9906/5dc08f050005745d01b79e6d8bd2cbe8.ts
ELTA体育3,P2p://190.2.146.92:18912/5c7249f7000966361d58752a73813a0e.ts
ELTA体育HD,mitv://198.255.74.87:9906/5dc08f18000177aa01b7e79f98d38e41.ts
ELTA体育HD,vjms://23.237.33.155:8500:3502/live/cid=266
ELTA体育HD,vjms://58.215.133.185:8500:3502/live/cid=266
EYETV戏剧台,p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
Fashion,vjms://58.215.133.185:8500:3502/live/cid=399
Fashion,vjms://121.14.222.75:8500:3502/live/cid=399
Fashion,mitv://198.255.74.87:9906/5dc08f050004570901b79e24ec699e4e.ts
Fashion Channel,https://bozztv.com/36bay2/gin/giniko_modelinc_2000kb_36bay2/tracks-v1a1/mono.m3u8
FOX CRIME,mitv://198.255.74.87:9906/5dc08f0c000f26df01b7bc4033c0db54.ts
Fox Golf,http://58.215.133.184:5021/live/265?pid=QGQXCVSPMBVK@5991DVS&begblock=0&startdelay=40&blocknum=0&needkeyframeinfo=1
FOX 电影,http://192.200.108.130:8080/ZZ_foxaction/ZZ_foxaction.m3u8
FOXNews,p8p://0198.02686.cc:16871/5d1a697f0002f4fc11bd0dfb9dd398c6.ts
FOXNews,vjms://58.215.133.185:8500:3502/live/cid=97
FOXNews,vjms://121.14.222.75:8500:3502/live/cid=97
FOXSPORT2,p8p://0198.02686.cc:16871/5d1a69a30008cd8811bd9c1ad6dfa2ad.ts
FOXSPORT3,vjms://121.14.222.75:8500:3502/live/cid=95
FOXSPORT-3,vjms://58.215.133.185:8500:3502/live/cid=95
FOX动作电影 HD,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
FOX电影,vjms://23.237.33.155:8500:3502/live/cid=94
FOX电影,vjms://58.215.133.185:8500:3502/live/cid=94
FOX电影,vjms://121.14.222.75:8500:3502/live/cid=94
FX,p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
FX,mitv://198.255.74.87:9906/5dc08f0d00036abb01b7bd27df32bfaf.ts
FX HD,P2p://217.182.18.136:9906/5bb6701d0006e263bc38d7f2110b5b7c.ts
HBO,vjms://23.237.33.155:8500:3502/live/cid=261
HBO,vjms://58.215.133.185:8500:3502/live/cid=261
HBO,vjms://121.14.222.75:8500:3502/live/cid=261
HBO,mitv://198.255.74.87:9906/5dc08f1000069e8c01b7c9b1fc8f2c36.ts
HBO Family,http://58.215.133.184:5021/live/181?pid=KGAKKMFJLUHW@5985GEH&begblock=0&startdelay=40&blocknum=0&needkeyframeinfo=1
HBO HD,P2p://217.182.18.136:9906/5bf1771e00054667a360654a43d23445.ts
HBO Signature,http://58.215.133.184:5021/live/436?pid=GNKJXIHRSEFU@5206IXV&begblock=0&startdelay=40&blocknum=0&needkeyframeinfo=1
HBOå¼ºæ¡£å·¨çŒ,P2p://217.182.18.136:9906/5bf1771d000c8829a36063371f6a4cc5.ts
HBO原创电影,vjms://121.14.222.75:8500:3502/live/cid=436
HBO原创电影,mitv://198.255.74.87:9906/5dc08f0d00043b0201b7bd5c9b45d94e.ts
HBO原创电影,vjms://58.215.133.185:8500:3502/live/cid=436
HBO原创电影,vjms://23.237.33.155:8500:3502/live/cid=436
HBO家庭,vjms://121.14.222.75:8500:3502/live/cid=181
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181
HBO家庭,vjms://23.237.33.155:8500:3502/live/cid=181
